Kind,Model,Seed,Train_acc,Test_acc,Final_loss,Final_grad_norm,Mean_grad_norm,Std_grad_norm,H_G,D_G,M_G,C_G,Delta_G,Psi_G_raw,Psi_G
equivariant,trained equivariant,1000,0.8333333333333334,0.9,0.5117928677894127,0.25705427881086734,0.43586250320223563,0.3703812109138724,0.9514343767388105,0.31615030734862704,0.14110185396781047,1.0,0.0,0.5265018217594963,0.5265018217594963
equivariant,trained equivariant,1001,0.8666666666666667,0.825,0.505948556028875,0.0888322914351117,0.3566410909342374,0.32142707622585404,0.9514343767388105,0.31615030734862704,0.1411018539678105,1.0,0.0,0.5265018217594963,0.5265018217594963
equivariant,trained equivariant,1002,0.8333333333333334,0.825,0.5132233697492573,0.3911713401159559,0.3577740843627624,0.2813915250043345,0.9514343767388105,0.31615030734862704,0.14110185396781047,1.0,0.0,0.5265018217594963,0.5265018217594963
equivariant,trained equivariant,1003,0.95,0.925,0.5054229156050358,0.016032265403732492,0.3246056499812761,0.35005687572837174,0.9514343767388105,0.31615030734862704,0.1411018539678105,1.0,0.0,0.5265018217594963,0.5265018217594963
equivariant,trained equivariant,1004,0.9166666666666666,0.925,0.5031380200223384,0.009666946383037688,0.3214378240489845,0.26450541798422106,0.9514343767388105,0.31615030734862704,0.14110185396781047,1.0,0.0,0.5265018217594963,0.5265018217594963
hybrid,trained hybrid,1000,0.8833333333333333,0.775,0.5042733407290187,0.23950884626354046,0.38671781830369517,0.33136993185585595,0.9605184593561067,0.31907307971318666,0.13411694596314208,0.8940427606769393,0.03733389140588151,0.5294121981328436,0.4733171431547343
hybrid,trained hybrid,1001,0.9,0.8,0.5004335000854285,0.05007010137129321,0.34723544927287575,0.26459029202277107,0.9523576806121326,0.3240188700131119,0.13431683045415047,0.9514369832634276,0.01659394109141081,0.5279288843629798,0.5022910651159405
hybrid,trained hybrid,1002,0.8166666666666667,0.725,0.5322140572663566,0.2401530344687163,0.34327437931842936,0.25131811751856414,0.9532702224021942,0.32577249653636176,0.13522076085244572,0.8772317258011847,0.043661365322801675,0.5291336529617158,0.46417282756709105
hybrid,trained hybrid,1003,0.7833333333333333,0.725,0.5658927107910589,0.057061583879175995,0.2943181377539143,0.23288017158252255,0.953167877756004,0.31910956643175437,0.1309974264167677,0.938846713006909,0.021034352677949286,0.5257048559577076,0.49355627602766433
hybrid,trained hybrid,1004,0.8666666666666667,0.75,0.49984435005509087,0.1281747322195568,0.3597718016995631,0.2979697825547121,0.9590670922989724,0.32324475191167473,0.13664571092938668,0.926363245333504,0.0254962825589416,0.5309239278210218,0.4918284128014928
non_equivariant,trained non-equivariant,1000,0.6666666666666666,0.45,0.6045860716971576,0.12837599572979938,0.2523431601061685,0.17349337483231048,0.92027708143473,0.31679843860017015,0.12405499408857384,0.7757103641808623,0.08465869016867829,0.510004034606095,0.39561541541800305
non_equivariant,trained non-equivariant,1001,0.7,0.4,0.5790958422200435,0.16907254443722602,0.2743239873388386,0.1759865019405653,0.9450717992937884,0.32866726018453446,0.12385579477633005,0.8337573164766746,0.06060430213549655,0.524026209476185,0.43691068617630774
non_equivariant,trained non-equivariant,1002,0.5666666666666667,0.475,0.6623281801156302,0.43335837681653444,0.19363282332675277,0.16632305812579143,0.9518989065664991,0.3323887061294879,0.08928720818480447,0.868879489105064,0.04685028033434793,0.5194174118181215,0.45131113541280404
non_equivariant,trained non-equivariant,1003,0.7166666666666667,0.375,0.6015399358494198,0.03713372906004698,0.2635498611985163,0.18148585243291687,0.9548950919586491,0.32341995722865147,0.1216931258337518,0.8437225638804159,0.05664385140218428,0.5255783032719256,0.4434422735565078
non_equivariant,trained non-equivariant,1004,0.6833333333333333,0.425,0.6150810581128433,0.020386004111508624,0.3449036586384054,0.25559744680554647,0.95160062562515,0.3261732518020161,0.1099410591964095,0.7654818938357639,0.08908323896445751,0.522286153179868,0.3998005936603213
